id;customer_id;customer_name;customer_lastname;order_id;product_id;end_date
1;18015;Malaysia fuchsia Macao;59421;89131;42522;2020-07-27
2;13902;calculate;90612;55517;5120;2020-07-28
3;19432;leading-edge Assurance;4267;28246;88224;2020-07-27
4;44702;Handcrafted Factors;5395;13222;24984;2020-07-27
5;50293;directional Intuitive Cheese;89332;18377;14072;2020-07-28
6;48991;empower;59220;8984;53649;2020-07-27
7;1885;European Monetary Unit (E.M.U.-6) Key;39581;84667;32315;2020-07-27
8;44883;Human Cambridgeshire;18067;11268;61719;2020-07-27
9;31928;RAM Intelligent Cotton Cheese;69123;99460;14292;2020-07-27
10;28076;interactive;51729;23672;377;2020-07-28
